model,fold,route_reward,utility_rmse
qwen3_embedding_lgbm,1,0.5184324979782104,0.4484578363944572
qwen3_embedding_lgbm,2,0.5145741701126099,0.4391657758730275
qwen3_embedding_lgbm,3,0.5128254890441895,0.4446644501331787
qwen3_embedding_lgbm,4,0.4990982711315155,0.44824994980151717
qwen3_embedding_lgbm,5,0.4948326647281647,0.4543327645371492
