model,fold,route_reward,mean_performance,mean_cost,utility_rmse
qwen3_embedding_lgbm,1,0.4622114535396628,0.57756507396698,0.01478167437016964,0.36786285140016767
qwen3_embedding_lgbm,2,0.46932685929310325,0.5814923644065857,0.01283753477036953,0.3611598679850742
qwen3_embedding_lgbm,3,0.46171621404590035,0.5734282732009888,0.013226736336946487,0.3655091746179416
qwen3_embedding_lgbm,4,0.45471288875586874,0.5670432448387146,0.014037934131920338,0.36568162430714407
qwen3_embedding_lgbm,5,0.4544836140924599,0.5640962719917297,0.012866649776697159,0.37379181465302197
