model,fold,route_reward,mean_performance,mean_cost,utility_rmse,performance_rmse,cost_rmse
qwen3_embedding_lgbm_two_head,1,0.4632652864647548,0.57756507396698,0.014239263720810413,0.367539196811051,0.424118364515489,0.02421907282429548
qwen3_embedding_lgbm_two_head,2,0.47100928035656553,0.5824742317199707,0.012401152402162552,0.3605020927151533,0.41682915102289053,0.02256373665756101
qwen3_embedding_lgbm_two_head,3,0.4525411093305038,0.5611492991447449,0.012577169574797153,0.3654392911952906,0.4221892599242805,0.023140044169715705
qwen3_embedding_lgbm_two_head,4,0.45268190274205294,0.5650785565376282,0.014223742298781872,0.3651408519444627,0.41998035112468124,0.02581839414386874
qwen3_embedding_lgbm_two_head,5,0.45038856114067427,0.5589390993118286,0.012718135491013527,0.3730565014940244,0.43063079290272327,0.024217039478562654
